Date,QQQ,SPY
2020-06-15,232.03990173339844,286.3475341796875
2020-06-16,236.0247039794922,291.85906982421875
2020-06-17,236.77305603027344,290.6466979980469
2020-06-18,237.41448974609375,290.7586364746094
2020-06-19,237.37562561035156,289.09698486328125
2020-06-22,240.22238159179688,290.9515686035156
2020-06-23,242.26690673828125,292.2909851074219
2020-06-24,237.2724151611328,284.83502197265625
2020-06-25,239.53114318847656,287.8886413574219
2020-06-26,233.87461853027344,281.05084228515625
2020-06-29,236.42538452148438,285.1816711425781
2020-06-30,241.05963134765625,288.8346252441406
2020-07-01,243.87332153320312,290.8578796386719
2020-07-02,245.5283966064453,292.45965576171875
2020-07-06,251.56468200683594,296.974365234375
2020-07-07,249.8316192626953,293.91143798828125
2020-07-08,253.1223602294922,296.1595153808594
2020-07-09,255.2545623779297,294.47344970703125
2020-07-10,256.99725341796875,297.48028564453125
2020-07-13,251.71067810058594,294.90435791015625
2020-07-14,253.49232482910156,298.7260437011719
2020-07-15,254.00836181640625,301.4704895019531
2020-07-16,252.2753448486328,300.4775390625
2020-07-17,252.56752014160156,301.34869384765625
2020-07-20,259.7330017089844,303.78399658203125
2020-07-21,257.02642822265625,304.4303894042969
2020-07-22,257.931884765625,306.1632385253906
2020-07-23,251.1946258544922,302.5101013183594
2020-07-24,248.80938720703125,300.5618896484375
2020-07-27,253.24893188476562,302.7537841796875
2020-07-28,250.0263671875,300.83355712890625
2020-07-29,252.90814208984375,304.5334777832031
2020-07-30,254.2322998046875,303.4468688964844
2020-07-31,258.7691955566406,305.8447265625
2020-08-03,262.2643737792969,307.97100830078125
2020-08-04,263.2380065917969,309.16064453125
2020-08-05,263.89019775390625,311.08087158203125
2020-08-06,267.38543701171875,313.16021728515625
2020-08-07,264.2991027832031,313.38507080078125
2020-08-10,263.1697082519531,314.3217468261719
2020-08-11,258.18505859375,311.7271423339844
2020-08-12,264.6788024902344,316.07330322265625
2020-08-13,265.282470703125,315.501953125
2020-08-14,264.97088623046875,315.5113220214844
2020-08-17,268.0474548339844,316.5135498046875
2020-08-18,270.62744140625,317.19744873046875
2020-08-19,268.806884765625,315.8765563964844
2020-08-20,272.53558349609375,316.86004638671875
2020-08-21,274.42437744140625,317.984130859375
2020-08-24,276.1379089355469,321.2064208984375
2020-08-25,278.3089599609375,322.3304138183594
2020-08-26,284.2478332519531,325.56195068359375
2020-08-27,283.3619079589844,326.2737731933594
2020-08-28,284.8028259277344,328.3812561035156
2020-08-31,287.0907897949219,327.1916809082031
2020-09-01,291.9975891113281,330.2734069824219
2020-09-02,294.7625427246094,335.05047607421875
2020-09-03,279.81805419921875,323.5198974609375
2020-09-04,276.08929443359375,320.8785400390625
2020-09-08,262.81927490234375,312.1111755371094
2020-09-09,270.539794921875,318.2745666503906
2020-09-10,265.14617919921875,312.74810791015625
2020-09-11,263.30609130859375,312.9073791503906
2020-09-14,267.89166259765625,317.0286865234375
2020-09-15,271.6885986328125,318.63043212890625
2020-09-16,267.3562316894531,317.36590576171875
2020-09-17,263.1795349121094,314.5746154785156
2020-09-18,259.8206481933594,310.9530334472656
2020-09-21,260.44378662109375,307.49224853515625
2020-09-22,265.282470703125,310.6238098144531
2020-09-23,257.1822204589844,303.42022705078125
2020-09-24,258.3796691894531,304.2288818359375
2020-09-25,264.38671875,309.14739990234375
2020-09-28,269.8777770996094,314.2821960449219
2020-09-29,268.6607971191406,312.5705261230469
2020-09-30,270.5008850097656,314.9405212402344
2020-10-01,274.7944030761719,316.9623718261719
2020-10-02,267.0641174316406,313.9530029296875
2020-10-05,272.7596130371094,319.5203857421875
2020-10-06,267.89166259765625,314.9781494140625
2020-10-07,272.52593994140625,320.46075439453125
2020-10-08,273.9765930175781,323.3008728027344
2020-10-09,278.16302490234375,326.1880187988281
2020-10-12,286.7500305175781,331.43560791015625
2020-10-13,286.740234375,329.27264404296875
2020-10-14,284.3451843261719,327.20361328125
2020-10-15,282.4369812011719,326.7992858886719
2020-10-16,280.8890075683594,326.6018371582031
2020-10-19,276.3034362792969,321.6363220214844
2020-10-20,276.8973388671875,322.9247131347656
2020-10-21,276.6830749511719,322.3134460449219
2020-10-22,276.67340087890625,324.0813903808594
2020-10-23,277.2185974121094,325.18170166015625
2020-10-26,273.0614013671875,319.1724853515625
2020-10-27,275.1935119628906,318.0720520019531
2020-10-28,264.46466064453125,307.20074462890625
2020-10-29,269.0891418457031,310.32293701171875
2020-10-30,262.2643737792969,307.0878601074219
2020-11-02,262.8485107421875,310.5298767089844
2020-11-03,267.39508056640625,316.0125427246094
2020-11-04,279.331298828125,323.07525634765625
2020-11-05,286.61376953125,329.3760070800781
2020-11-06,286.827880859375,329.30078125
2020-11-09,280.9668884277344,333.438720703125
2020-11-10,275.9334411621094,332.9496154785156
2020-11-11,282.10601806640625,335.4229736328125
2020-11-12,280.78192138671875,332.16912841796875
2020-11-13,283.2450866699219,336.7678527832031
2020-11-16,285.4552001953125,340.9715270996094
2020-11-17,284.5496826171875,339.1376647949219
2020-11-18,282.44677734375,335.05621337890625
2020-11-19,284.6568298339844,336.4668884277344
2020-11-20,282.70965576171875,334.1628112792969
2020-11-23,282.7193603515625,336.1659240722656
2020-11-24,286.69158935546875,341.5828857421875
2020-11-25,288.45379638671875,341.05621337890625
2020-11-27,291.1116943359375,342.0060119628906
2020-11-30,291.7054443359375,340.491943359375
2020-12-01,295.444091796875,344.216064453125
2020-12-02,295.8238830566406,344.940185546875
2020-12-03,296.242431640625,344.8460998535156
2020-12-04,297.44964599609375,347.81793212890625
2020-12-07,299.1340026855469,347.1031494140625
2020-12-08,300.14654541015625,348.1188049316406
2020-12-09,293.3509216308594,344.9966125488281
2020-12-10,294.5289611816406,344.8836975097656
2020-12-11,293.87664794921875,344.47930908203125
2020-12-14,296.0088195800781,342.93707275390625
2020-12-15,299.17291259765625,347.5733642578125
2020-12-16,300.8183288574219,348.1188049316406
2020-12-17,302.7849426269531,350.0655212402344
2020-12-18,301.8697509765625,348.6677551269531
2020-12-21,301.30499267578125,347.4211120605469
2020-12-22,302.1242980957031,346.8354797363281
2020-12-23,300.6028137207031,347.147216796875
