Date,GLD,IWM,QQQ,SPY,TLT
2010-03-30,107.97000122070312,55.761924743652344,42.31203079223633,89.4828872680664,58.68156433105469
2010-03-31,108.94999694824219,55.28087615966797,42.11091232299805,89.17802429199219,59.08430862426758
2010-04-01,110.26000213623047,55.79454803466797,42.11091232299805,89.78775787353516,58.93983840942383
2010-04-05,110.88999938964844,56.83819580078125,42.504390716552734,90.51950073242188,57.95917510986328
2010-04-06,111.02999877929688,57.17250061035156,42.62681579589844,90.73289489746094,58.05195236206055
2010-04-07,112.48999786376953,56.99311828613281,42.521881103515625,90.2146224975586,58.79405975341797
2010-04-08,112.6500015258789,56.936031341552734,42.61806106567383,90.52710723876953,58.82059097290039
2010-04-09,113.63999938964844,57.27847671508789,42.87166213989258,91.12161254882812,58.959716796875
2010-04-12,113.01000213623047,57.514957427978516,42.90663528442383,91.26644134521484,59.27116012573242
2010-04-13,112.69000244140625,57.6453742980957,43.12521743774414,91.33506774902344,59.463294982910156
2010-04-14,113.02999877929688,58.87655258178711,43.64111328125,92.37163543701172,59.04586410522461
2010-04-15,113.6500015258789,59.055946350097656,43.8334846496582,92.4478759765625,59.112152099609375
2010-04-16,111.23999786376953,58.265071868896484,43.308837890625,90.97681427001953,59.54283142089844
2010-04-19,111.1500015258789,57.97968673706055,43.282596588134766,91.3198013305664,59.397071838378906
2010-04-20,111.45999908447266,58.77060317993164,43.5012092590332,92.13536834716797,59.60905456542969
2010-04-21,112.30999755859375,59.178253173828125,43.746036529541016,91.96769714355469,60.099403381347656
2010-04-22,111.83999633789062,59.806095123291016,43.99087905883789,92.2420654296875,59.92050552368164
2010-04-23,113.19000244140625,60.44206237792969,44.174495697021484,92.8442153930664,59.70846939086914
2010-04-26,112.75,60.213768005371094,44.07829284667969,92.49358367919922,59.774749755859375
2010-04-27,114.62999725341797,58.835784912109375,43.14269256591797,90.30603790283203,60.61622619628906
2010-04-28,114.30999755859375,58.93364334106445,43.168949127197266,90.9920654296875,60.099403381347656
2010-04-29,114.27999877929688,60.18114471435547,43.92091751098633,92.12013244628906,60.351219177246094
2010-04-30,115.36000061035156,58.41997146606445,43.05527877807617,90.5575942993164,61.04691696166992
2010-05-03,115.7300033569336,59.73270034790039,43.658599853515625,91.73138427734375,60.967185974121094
2010-05-04,114.87000274658203,57.85740280151367,42.34701919555664,89.57435607910156,62.064292907714844
2010-05-05,115.08999633789062,57.009422302246094,42.12839889526367,89.0407943725586,62.42999267578125
2010-05-06,118.48999786376953,54.87321090698242,40.720619201660156,86.08343505859375,64.35829162597656
2010-05-07,118.2699966430664,53.29140853881836,39.70633316040039,84.80294799804688,63.55374526977539
2010-05-10,117.56999969482422,56.28376007080078,41.76988220214844,88.53775024414062,62.237205505371094
2010-05-11,120.66000366210938,56.65883255004883,41.72620391845703,88.28624725341797,62.0776252746582
2010-05-12,121.4000015258789,58.395511627197266,42.51314163208008,89.52098846435547,61.605525970458984
2010-05-13,120.55999755859375,57.83292007446289,41.83986282348633,88.40815734863281,62.0111198425293
2010-05-14,120.37000274658203,56.71592330932617,41.0354118347168,86.80755615234375,63.08827209472656
2010-05-17,119.36000061035156,56.82189178466797,41.16657257080078,86.85326385498047,62.85554885864258
2010-05-18,119.48999786376953,55.72932434082031,40.59820556640625,85.6718521118164,63.819725036621094
2010-05-19,116.62999725341797,55.06888961791992,40.274688720703125,85.1840591430664,64.03247833251953
2010-05-20,115.83999633789062,52.28038024902344,38.77946472167969,81.9675521850586,65.38227844238281
2010-05-21,115.22000122070312,53.05495834350586,39.20792007446289,83.16421508789062,65.44878387451172
2010-05-24,116.83999633789062,52.345611572265625,39.050533294677734,82.09712219238281,65.22268676757812
2010-05-25,117.36000061035156,52.33744812011719,39.08550262451172,82.18096160888672,65.54185485839844
2010-05-26,118.47000122070312,52.46791076660156,38.648319244384766,81.68550872802734,65.35568237304688
2010-05-27,118.69000244140625,54.718257904052734,40.108551025390625,84.42188262939453,63.872886657714844
2010-05-28,118.87999725341797,54.017066955566406,39.87246322631836,83.36237335205078,64.16541290283203
2010-06-01,119.91000366210938,52.37820816040039,39.50523376464844,81.95990753173828,64.61647033691406
2010-06-02,119.77999877929688,53.87031555175781,40.44082260131836,84.09407806396484,64.00269317626953
2010-06-03,117.95999908447266,54.5633544921875,40.82554626464844,84.38370513916016,63.5356330871582
2010-06-04,119.19000244140625,51.82379150390625,39.426509857177734,81.41874694824219,65.24365234375
2010-06-07,121.48999786376953,50.486602783203125,38.70952606201172,80.405029296875,65.74405670166016
2010-06-08,121.0,50.462154388427734,38.639556884765625,81.26630401611328,65.4170913696289
2010-06-09,120.55999755859375,50.494754791259766,38.3160285949707,80.83185577392578,65.3437271118164
2010-06-10,118.97000122070312,52.2396125793457,39.40903854370117,83.19465637207031,64.1761474609375
2010-06-11,120.01000213623047,52.948974609375,39.7850227355957,83.5986557006836,64.99015045166016
2010-06-14,119.5999984741211,53.28325271606445,39.776283264160156,83.46910858154297,64.6565170288086
2010-06-15,120.98999786376953,54.62042999267578,40.84304428100586,85.36698913574219,64.38966369628906
2010-06-16,120.33000183105469,54.36767578125,41.009185791015625,85.33650207519531,64.75660705566406
2010-06-17,121.9000015258789,54.43292236328125,41.14032745361328,85.47368621826172,65.28367614746094
2010-06-18,122.83000183105469,54.46553421020508,41.174503326416016,85.56634521484375,65.17691802978516
2010-06-21,120.38999938964844,53.90293502807617,40.824073791503906,85.3212890625,64.99015045166016
2010-06-22,121.44999694824219,52.79404067993164,40.50870132446289,83.91217803955078,65.76400756835938
2010-06-23,120.94999694824219,52.64727020263672,40.34225082397461,83.6517562866211,66.21104431152344
2010-06-24,121.30000305175781,51.80747985839844,39.7290153503418,82.26564025878906,65.81741333007812
2010-06-25,122.76000213623047,52.69620895385742,39.73691940307617,82.61026000976562,66.0843276977539
2010-06-28,121.08999633789062,52.39452362060547,39.59647750854492,82.34986114501953,66.70476531982422
2010-06-29,121.2699966430664,50.4132194519043,38.06914520263672,79.80728149414062,67.4320297241211
2010-06-30,121.68000030517578,49.83433151245117,37.48981857299805,79.04913330078125,67.88565063476562
2010-07-01,117.04000091552734,49.47556686401367,37.38447952270508,78.69686889648438,67.99275207519531
2010-07-02,118.48999786376953,48.934844970703125,37.27914810180664,78.26799011230469,67.45066833496094
2010-07-06,116.51000213623047,48.29679870605469,37.39325714111328,78.78107452392578,68.00611114501953
2010-07-07,117.7300033569336,49.98192596435547,38.58702850341797,81.26239013671875,67.20980072021484
2010-07-08,117.20999908447266,50.701805114746094,38.797706604003906,82.0665283203125,66.78146362304688
2010-07-09,118.36000061035156,51.48711395263672,39.16636657714844,82.67916870117188,66.40003967285156
2010-07-12,117.33999633789062,50.90631103515625,39.28048324584961,82.73277282714844,66.37322235107422
2010-07-13,118.36000061035156,52.5178337097168,39.78956985473633,83.98109436035156,65.80438232421875
2010-07-14,118.30000305175781,52.32970428466797,39.9914665222168,83.97342681884766,66.46694946289062
2010-07-15,118.2300033569336,51.84703826904297,40.02657699584961,83.99639129638672,67.12942504882812
2010-07-16,116.66999816894531,49.95737838745117,38.92058563232422,81.68362426757812,67.45736694335938
2010-07-19,115.7300033569336,50.170074462890625,39.254146575927734,82.16604614257812,67.04244995117188
2010-07-20,116.6500015258789,51.012657165527344,39.7281494140625,83.077392578125,67.14282989501953
2010-07-21,115.8499984741211,50.09646224975586,39.183921813964844,81.99757385253906,68.2805404663086
2010-07-22,116.86000061035156,51.8797607421875,40.175819396972656,83.82793426513672,67.49083709716797
2010-07-23,116.08999633789062,53.155906677246094,40.430362701416016,84.55546569824219,66.7747573852539
2010-07-26,115.5199966430664,54.36660385131836,40.763919830322266,85.43616485595703,66.66098022460938
2010-07-27,113.51000213623047,54.17027282714844,40.746360778808594,85.42851257324219,66.01854705810547
2010-07-28,113.77999877929688,53.294979095458984,40.42158126831055,84.87712860107422,66.23270416259766
2010-07-29,114.29000091552734,53.155906677246094,40.123138427734375,84.4635238647461,66.21263122558594
2010-07-30,115.48999786376953,53.188621520996094,40.210914611816406,84.44823455810547,67.24320983886719
2010-08-02,115.54000091552734,54.11301803588867,40.965816497802734,86.35514068603516,66.29927825927734
2010-08-03,115.98999786376953,53.6794548034668,40.790245056152344,85.94160461425781,66.68196868896484
